slang,formal
lu troll banget dah,Anda mengganggu sekali!
"Aduh waduh, ente cepet banget! dah","Astaga, Anda cepat sekali!"
"Aduh deck, you kepo banget!!","Astaga, Anda penasaran sekali!"
"Mabar yuk lu, gw flexing nih","Bermain bersama yuk kamu, saya pamer"
elo modus banget dah,saudara berpura-pura sekali.
loe tuh kepo banget sih...,saudara benar-benar penasaran.
"Aduh deck, ente alay banget! dah","Astaga, saudara norak sekali!!"
"Aduh haha, kamu gemoy banget! dah","Astaga, saudara menggemaskan sekali!"
"Aduh wkwk, elo bucin banget!...","Astaga, saudara budak cinta sekali!."
you unfriend banget dah dah,saudara hapus pertemanan sekali
lu tuh bucin banget sih...,saudara benar-benar budak cinta!
"Aduh njir, you ajib banget!","Astaga, Anda hebat sekali!!"
"Aduh wkwk, loe ambyar banget!...","Astaga, kamu hancur sekali!."
kamu tuh ajib banget sih...,Anda benar-benar hebat.
"Aduh waduh, kamu galau banget!...","Astaga, Anda sedih sekali!."
"Aduh yaelah, elo cepet banget!","Astaga, saudara cepat sekali!"
"Aduh siap, kamu gercep banget!...","Astaga, saudara cepat sekali!!"
"Aduh siap, you bucin banget!...","Astaga, saudara budak cinta sekali!."
"Aduh wkwk, lu alay banget! dah","Astaga, kamu norak sekali!!"
"Aduh yaelah, ente cepet banget!","Astaga, saudara cepat sekali!"
"Aduh yaelah, ente garing banget!!","Astaga, Anda membosankan sekali!."
"Aduh deck, lu gercep banget! dah","Astaga, Anda cepat sekali!!"
Jangan block dong kamu,"Tolong jangan blokir, saudara!"
"Aduh wkwk, you alay banget!","Astaga, kamu norak sekali!."
"Aduh njir, you ambyar banget! dah","Astaga, Anda hancur sekali!"
"Aduh dah, elo gercep banget!","Astaga, kamu cepat sekali!"
"Aduh anjir, ente gabut banget!!","Astaga, saudara tidak produktif sekali!"
"Aduh deck, lu mantul banget!","Astaga, saudara mantap sekali!."
"Aduh haha, lu ambyar banget!...","Astaga, Anda hancur sekali!!"
"Aduh deck, lu jomblo banget!...","Astaga, Anda tidak punya pasangan sekali!."
"Aduh siap, kamu baper banget! dah","Astaga, kamu terlalu sensitif sekali!!"
"Aduh anjir, elo baper banget!","Astaga, saudara terlalu sensitif sekali!"
"Mabar yuk lu, gw modus nih dah","Bermain bersama yuk saudara, saya berpura-pura!"
you troll banget dah!,kamu mengganggu sekali.
"Aduh waduh, ente galau banget!...","Astaga, saudara sedih sekali!."
"Aduh haha, ente galau banget!...","Astaga, saudara sedih sekali!!"
"Aduh deck, ente lebay banget!","Astaga, kamu berlebihan sekali!."
lu tuh ngehe banget sih dah,Anda benar-benar menjengkelkan
"Aduh dah, you cepet banget!!","Astaga, Anda cepat sekali!"
"Aduh dah, loe gercep banget!!","Astaga, Anda cepat sekali!!"
"Aduh wkwk, lu mantul banget!...","Astaga, saudara mantap sekali!!"
ente sokin banget dah,kamu fokus sekali!
"Aduh deck, ente gercep banget! dah","Astaga, saudara cepat sekali!"
"Aduh dah, loe gercep banget!!","Astaga, Anda cepat sekali!!"
"Aduh siap, ente alay banget!!","Astaga, kamu norak sekali!."
"Aduh yhaa, elo kepo banget!...","Astaga, Anda penasaran sekali!!"
"Aduh haha, loe santuy banget!...","Astaga, kamu santai sekali!."
"Aduh siap, elo mantul banget!...","Astaga, kamu mantap sekali!."
"Aduh deck, elo kepo banget!!","Astaga, kamu penasaran sekali!."
"Aduh anjir, kamu lebay banget! dah","Astaga, kamu berlebihan sekali!!"
"Aduh wkwk, you galau banget!","Astaga, Anda sedih sekali!!"
you japri banget dah...,kamu kirim pesan pribadi sekali!
"Aduh dah, loe gercep banget!...","Astaga, Anda cepat sekali!."
elo tuh gabut banget sih,saudara benar-benar tidak produktif.
"Aduh waduh, kamu gercep banget!...","Astaga, saudara cepat sekali!."
kamu tuh bucin banget sih...,Anda benar-benar budak cinta.
"Aduh anjir, ente ambyar banget!...","Astaga, Anda hancur sekali!"
"Aduh yhaa, ente mantul banget!!","Astaga, kamu mantap sekali!"
Jangan block dong elo dah,"Tolong jangan blokir, kamu!"
elo tuh syulit banget sih!,Anda benar-benar sulit!
Jangan troll dong kamu dah,"Tolong jangan mengganggu, saudara."
"Aduh siap, ente mantul banget! dah","Astaga, kamu mantap sekali!."
"Aduh waduh, lu gemoy banget!","Astaga, kamu menggemaskan sekali!!"
"Aduh njir, elo jomblo banget!!","Astaga, kamu tidak punya pasangan sekali!."
"Aduh njir, lu kepo banget!!","Astaga, Anda penasaran sekali!!"
"Aduh yaelah, ente galau banget! dah","Astaga, kamu sedih sekali!!"
"Aduh siap, loe gercep banget!...","Astaga, saudara cepat sekali!"
kamu flexing banget dah!,saudara pamer sekali.
"Aduh wkwk, ente syulit banget! dah","Astaga, Anda sulit sekali!"
"Aduh deck, lu gercep banget!...","Astaga, Anda cepat sekali!!"
"Aduh njir, kamu gemoy banget!!","Astaga, Anda menggemaskan sekali!!"
"Aduh deck, ente ambyar banget!","Astaga, saudara hancur sekali!"
"Aduh anjir, loe santuy banget!!","Astaga, Anda santai sekali!!"
"Aduh waduh, elo gemoy banget! dah","Astaga, Anda menggemaskan sekali!."
"Aduh deck, ente tajir banget!...","Astaga, saudara kaya sekali!!"
"Aduh haha, kamu galau banget! dah","Astaga, saudara sedih sekali!"
"Aduh wkwk, you syulit banget!","Astaga, kamu sulit sekali!!"
"Aduh dah, elo garing banget!","Astaga, Anda membosankan sekali!."
"Aduh yhaa, kamu gemoy banget!","Astaga, saudara menggemaskan sekali!!"
"Aduh waduh, ente garing banget!...","Astaga, saudara membosankan sekali!."
"Aduh yaelah, loe alay banget!!","Astaga, Anda norak sekali!"
"Mabar yuk lu, gw nyok nih...","Bermain bersama yuk Anda, saya ayo."
loe tuh bucin banget sih dah,saudara benar-benar budak cinta
"Aduh njir, elo gercep banget!!","Astaga, saudara cepat sekali!"
Jangan ghosting dong ente...,"Tolong jangan menghilang, kamu!"
"Aduh yhaa, you syulit banget!...","Astaga, saudara sulit sekali!!"
"Aduh njir, loe ambyar banget!","Astaga, Anda hancur sekali!."
"Aduh anjir, elo gemoy banget!!","Astaga, Anda menggemaskan sekali!"
"Aduh njir, lu ngehe banget!!","Astaga, kamu menjengkelkan sekali!."
kamu gaskeun banget dah,Anda bersungguh-sungguh sekali
"Aduh haha, loe galau banget! dah","Astaga, saudara sedih sekali!!"
"Mabar yuk lu, gw japri nih dah","Bermain bersama yuk Anda, saya kirim pesan pribadi."
"Aduh yaelah, kamu ajib banget! dah","Astaga, kamu hebat sekali!"
"Aduh dah, lu jomblo banget!!","Astaga, Anda tidak punya pasangan sekali!!"
"Aduh dah, you bucin banget!","Astaga, kamu budak cinta sekali!."
"Aduh haha, ente garing banget!!","Astaga, kamu membosankan sekali!"
"Aduh siap, lu ambyar banget!","Astaga, kamu hancur sekali!!"
"Aduh haha, ente ambyar banget!!","Astaga, saudara hancur sekali!"
"Aduh njir, lu lebay banget!...","Astaga, Anda berlebihan sekali!."
"Aduh siap, elo jomblo banget!","Astaga, saudara tidak punya pasangan sekali!."
Jangan jadian dong ente...,"Tolong jangan berhubungan, kamu"
"Aduh waduh, kamu gabut banget!","Astaga, Anda tidak produktif sekali!."
"Aduh njir, loe jomblo banget! dah","Astaga, kamu tidak punya pasangan sekali!!"
loe flexing banget dah...,saudara pamer sekali.
loe mabar banget dah!,Anda main bersama sekali.
"Aduh deck, loe galau banget!...","Astaga, saudara sedih sekali!"
"Aduh wkwk, lu bucin banget! dah","Astaga, Anda budak cinta sekali!"
elo tuh santuy banget sih!,saudara benar-benar santai!
"Aduh deck, loe ajib banget!!","Astaga, saudara hebat sekali!!"
you sokin banget dah!,kamu fokus sekali
Jangan flexing dong ente,"Tolong jangan pamer, Anda."
kamu tuh bucin banget sih...,Anda benar-benar budak cinta!
"Aduh waduh, ente cepet banget!","Astaga, Anda cepat sekali!!"
"Aduh deck, ente gabut banget!","Astaga, saudara tidak produktif sekali!!"
lu tuh tajir banget sih,Anda benar-benar kaya!
"Aduh anjir, elo jomblo banget! dah","Astaga, kamu tidak punya pasangan sekali!."
"Aduh waduh, elo syulit banget!","Astaga, Anda sulit sekali!!"
"Aduh dah, elo syulit banget! dah","Astaga, saudara sulit sekali!!"
loe tuh ajib banget sih!,saudara benar-benar hebat!
"Aduh dah, kamu jomblo banget!","Astaga, kamu tidak punya pasangan sekali!."
ente gaskeun banget dah,Anda bersungguh-sungguh sekali!
loe flexing banget dah...,saudara pamer sekali!
"Mabar yuk loe, gw gaskeun nih!","Bermain bersama yuk saudara, saya bersungguh-sungguh."
"Aduh wkwk, loe ngehe banget!","Astaga, saudara menjengkelkan sekali!."
"Aduh yaelah, you tajir banget!","Astaga, kamu kaya sekali!."
"Aduh waduh, you tajir banget!!","Astaga, kamu kaya sekali!."
"Aduh njir, elo lebay banget!!","Astaga, saudara berlebihan sekali!."
"Aduh yhaa, ente lebay banget! dah","Astaga, saudara berlebihan sekali!."
elo tuh mager banget sih,kamu benar-benar malas gerak!
"Aduh anjir, loe cepet banget!!","Astaga, Anda cepat sekali!!"
"Aduh waduh, lu gercep banget!...","Astaga, saudara cepat sekali!"
"Aduh deck, elo ambyar banget!","Astaga, kamu hancur sekali!!"
"Mabar yuk you, gw ghosting nih","Bermain bersama yuk Anda, saya menghilang!"
"Aduh waduh, you ambyar banget! dah","Astaga, saudara hancur sekali!"
"Aduh deck, loe syulit banget!","Astaga, kamu sulit sekali!!"
"Aduh wkwk, elo ngehe banget!","Astaga, saudara menjengkelkan sekali!."
"Aduh dah, you garing banget!!","Astaga, Anda membosankan sekali!."
"Aduh siap, lu cepet banget!...","Astaga, Anda cepat sekali!."
"Aduh waduh, loe mager banget!","Astaga, saudara malas gerak sekali!"
Jangan japri dong ente...,"Tolong jangan kirim pesan pribadi, kamu."
"Aduh dah, lu alay banget!...","Astaga, kamu norak sekali!."
"Aduh siap, you syulit banget!","Astaga, saudara sulit sekali!"
"Aduh haha, loe cepet banget!","Astaga, saudara cepat sekali!"
"Aduh yaelah, loe ajib banget!!","Astaga, kamu hebat sekali!."
"Aduh waduh, loe mantul banget! dah","Astaga, kamu mantap sekali!!"
"Aduh haha, elo syulit banget!","Astaga, saudara sulit sekali!."
"Aduh dah, elo gabut banget!!","Astaga, kamu tidak produktif sekali!"
"Mabar yuk ente, gw unfriend nih dah","Bermain bersama yuk kamu, saya hapus pertemanan."
Jangan flexing dong kamu dah,"Tolong jangan pamer, saudara!"
"Aduh haha, lu ajib banget! dah","Astaga, kamu hebat sekali!!"
"Aduh dah, ente gemoy banget!","Astaga, kamu menggemaskan sekali!"
"Aduh yaelah, elo cepet banget!","Astaga, saudara cepat sekali!"
"Aduh waduh, elo santuy banget! dah","Astaga, kamu santai sekali!!"
Jangan selow dong loe dah,"Tolong jangan santai, Anda"
"Aduh waduh, you mager banget! dah","Astaga, saudara malas gerak sekali!."
"Aduh haha, lu bucin banget!","Astaga, Anda budak cinta sekali!!"
lu block banget dah!,saudara blokir sekali.
"Aduh siap, loe garing banget!","Astaga, Anda membosankan sekali!."
"Aduh wkwk, elo kepo banget!","Astaga, saudara penasaran sekali!"
"Aduh haha, you ambyar banget!...","Astaga, saudara hancur sekali!"
"Aduh waduh, lu tajir banget!!","Astaga, Anda kaya sekali!!"
"Aduh wkwk, lu cepet banget!","Astaga, kamu cepat sekali!."
"Aduh waduh, ente ambyar banget!!","Astaga, saudara hancur sekali!."
"Aduh yhaa, ente tajir banget! dah","Astaga, Anda kaya sekali!"
"Aduh siap, elo bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh deck, lu lebay banget!!","Astaga, saudara berlebihan sekali!!"
"Aduh siap, ente kepo banget! dah","Astaga, Anda penasaran sekali!"
"Mabar yuk loe, gw sokin nih dah","Bermain bersama yuk Anda, saya fokus."
"Aduh deck, ente jomblo banget!...","Astaga, kamu tidak punya pasangan sekali!."
"Aduh haha, lu ambyar banget!!","Astaga, Anda hancur sekali!!"
"Aduh deck, lu lebay banget! dah","Astaga, saudara berlebihan sekali!."
"Aduh njir, loe gemoy banget!","Astaga, Anda menggemaskan sekali!."
"Aduh siap, you lebay banget! dah","Astaga, saudara berlebihan sekali!"
"Aduh deck, kamu ajib banget! dah","Astaga, saudara hebat sekali!."
"Aduh dah, you mager banget! dah","Astaga, saudara malas gerak sekali!!"
"Aduh deck, ente gemoy banget!","Astaga, saudara menggemaskan sekali!"
"Aduh njir, lu gabut banget! dah","Astaga, Anda tidak produktif sekali!"
"Aduh yaelah, loe jomblo banget!","Astaga, Anda tidak punya pasangan sekali!"
"Mabar yuk you, gw block nih...","Bermain bersama yuk saudara, saya blokir!"
"Aduh deck, elo tajir banget!!","Astaga, saudara kaya sekali!!"
"Aduh deck, ente galau banget! dah","Astaga, kamu sedih sekali!."
"Aduh njir, you syulit banget!","Astaga, Anda sulit sekali!"
"Aduh yhaa, lu ajib banget!...","Astaga, Anda hebat sekali!!"
"Aduh deck, loe mantul banget! dah","Astaga, Anda mantap sekali!!"
"Aduh siap, elo gemoy banget!...","Astaga, Anda menggemaskan sekali!!"
"Aduh haha, lu cepet banget!","Astaga, saudara cepat sekali!"
"Aduh waduh, loe baper banget!!","Astaga, saudara terlalu sensitif sekali!"
"Aduh deck, lu tajir banget!...","Astaga, Anda kaya sekali!!"
lu mabar banget dah...,Anda main bersama sekali!
"Aduh waduh, loe gabut banget!","Astaga, Anda tidak produktif sekali!"
"Aduh njir, lu mager banget!!","Astaga, Anda malas gerak sekali!!"
"Aduh siap, kamu gabut banget! dah","Astaga, saudara tidak produktif sekali!"
"Aduh njir, elo syulit banget!!","Astaga, kamu sulit sekali!"
"Aduh njir, elo gemoy banget! dah","Astaga, saudara menggemaskan sekali!"
"Aduh waduh, kamu baper banget!!","Astaga, kamu terlalu sensitif sekali!!"
"Aduh wkwk, lu cepet banget!","Astaga, kamu cepat sekali!."
"Aduh haha, you mantul banget!","Astaga, Anda mantap sekali!."
"Aduh waduh, kamu baper banget!!","Astaga, kamu terlalu sensitif sekali!."
"Aduh wkwk, lu santuy banget!","Astaga, Anda santai sekali!!"
"Aduh anjir, loe ngehe banget! dah","Astaga, Anda menjengkelkan sekali!!"
"Aduh yhaa, you syulit banget!!","Astaga, saudara sulit sekali!!"
"Aduh njir, loe galau banget!","Astaga, kamu sedih sekali!."
kamu flexing banget dah...,saudara pamer sekali!
"Aduh anjir, elo bucin banget! dah","Astaga, Anda budak cinta sekali!!"
"Aduh njir, ente syulit banget!!","Astaga, Anda sulit sekali!."
"Aduh wkwk, lu jomblo banget!...","Astaga, saudara tidak punya pasangan sekali!."
loe troll banget dah!,saudara mengganggu sekali
"Aduh wkwk, elo tajir banget!...","Astaga, kamu kaya sekali!!"
"Aduh njir, kamu santuy banget!...","Astaga, kamu santai sekali!!"
"Aduh wkwk, loe cepet banget!!","Astaga, Anda cepat sekali!"
"Aduh dah, ente jomblo banget!...","Astaga, kamu tidak punya pasangan sekali!!"
Jangan japri dong kamu!,"Tolong jangan kirim pesan pribadi, kamu!"
"Aduh njir, elo cepet banget!!","Astaga, Anda cepat sekali!!"
"Aduh haha, you garing banget!...","Astaga, Anda membosankan sekali!!"
Jangan modus dong elo...,"Tolong jangan berpura-pura, kamu!"
"Aduh anjir, ente mager banget! dah","Astaga, kamu malas gerak sekali!!"
"Aduh haha, ente santuy banget!...","Astaga, Anda santai sekali!."
"Aduh waduh, loe ajib banget!","Astaga, kamu hebat sekali!"
Jangan gaskeun dong ente!,"Tolong jangan bersungguh-sungguh, saudara"
"Aduh anjir, kamu santuy banget!","Astaga, Anda santai sekali!"
"Aduh siap, kamu cepet banget!!","Astaga, kamu cepat sekali!."
"Aduh haha, loe syulit banget!...","Astaga, saudara sulit sekali!"
"Aduh dah, elo gemoy banget!...","Astaga, Anda menggemaskan sekali!"
"Aduh siap, kamu mager banget!","Astaga, saudara malas gerak sekali!."
"Aduh haha, lu cepet banget!","Astaga, saudara cepat sekali!!"
"Aduh anjir, kamu gercep banget!!","Astaga, Anda cepat sekali!!"
"Aduh dah, loe gercep banget! dah","Astaga, Anda cepat sekali!"
"Aduh anjir, loe bucin banget!...","Astaga, Anda budak cinta sekali!!"
"Aduh yhaa, loe gercep banget!","Astaga, Anda cepat sekali!."
"Aduh waduh, you galau banget! dah","Astaga, kamu sedih sekali!!"
"Aduh dah, kamu alay banget!","Astaga, Anda norak sekali!"
"Aduh yaelah, elo mantul banget!...","Astaga, Anda mantap sekali!"
"Aduh waduh, kamu kepo banget! dah","Astaga, Anda penasaran sekali!"
"Aduh haha, ente ajib banget!...","Astaga, Anda hebat sekali!!"
"Aduh anjir, elo ambyar banget!!","Astaga, kamu hancur sekali!!"
"Aduh waduh, lu ajib banget!...","Astaga, Anda hebat sekali!."
you tuh mantul banget sih,saudara benar-benar mantap
"Aduh deck, lu galau banget!","Astaga, saudara sedih sekali!."
"Aduh yhaa, kamu mager banget! dah","Astaga, saudara malas gerak sekali!."
"Aduh njir, you santuy banget!...","Astaga, kamu santai sekali!"
Jangan jadian dong loe...,"Tolong jangan berhubungan, Anda"
Jangan ribut dong you dah,"Tolong jangan berdebat, kamu!"
Jangan block dong ente,"Tolong jangan blokir, saudara"
"Aduh njir, elo garing banget!","Astaga, kamu membosankan sekali!!"
"Aduh anjir, elo syulit banget!...","Astaga, Anda sulit sekali!."
"Aduh wkwk, you tajir banget!...","Astaga, Anda kaya sekali!"
"Aduh njir, you mantul banget!...","Astaga, saudara mantap sekali!!"
"Aduh haha, kamu mantul banget!!","Astaga, saudara mantap sekali!!"
"Aduh wkwk, elo garing banget!!","Astaga, Anda membosankan sekali!."
"Aduh yaelah, kamu gabut banget! dah","Astaga, kamu tidak produktif sekali!"
"Aduh wkwk, elo mantul banget!!","Astaga, Anda mantap sekali!"
Jangan ghosting dong you...,"Tolong jangan menghilang, kamu."
you tuh syulit banget sih...,Anda benar-benar sulit
ente modus banget dah dah,saudara berpura-pura sekali!
"Aduh yhaa, you ambyar banget!","Astaga, saudara hancur sekali!"
"Aduh yhaa, lu alay banget!...","Astaga, saudara norak sekali!."
"Aduh njir, you jomblo banget!!","Astaga, kamu tidak punya pasangan sekali!"
"Aduh anjir, kamu gabut banget!...","Astaga, kamu tidak produktif sekali!."
"Mabar yuk elo, gw jadian nih dah","Bermain bersama yuk Anda, saya berhubungan."
"Aduh dah, ente gabut banget!...","Astaga, saudara tidak produktif sekali!"
"Aduh yaelah, you alay banget!...","Astaga, Anda norak sekali!!"
"Aduh yaelah, elo ambyar banget! dah","Astaga, kamu hancur sekali!."
"Aduh wkwk, kamu jomblo banget!...","Astaga, saudara tidak punya pasangan sekali!!"
"Aduh anjir, ente gabut banget!...","Astaga, saudara tidak produktif sekali!!"
you ghosting banget dah,Anda menghilang sekali
"Aduh waduh, kamu gemoy banget!","Astaga, kamu menggemaskan sekali!!"
"Aduh njir, kamu kepo banget!!","Astaga, Anda penasaran sekali!!"
"Aduh siap, you gercep banget!!","Astaga, saudara cepat sekali!!"
"Aduh yhaa, you mantul banget!","Astaga, kamu mantap sekali!"
"Aduh waduh, kamu gemoy banget! dah","Astaga, kamu menggemaskan sekali!!"
"Aduh siap, ente syulit banget!!","Astaga, Anda sulit sekali!"
"Aduh waduh, ente ngehe banget!...","Astaga, kamu menjengkelkan sekali!"
"Aduh waduh, elo gabut banget!","Astaga, kamu tidak produktif sekali!"
"Aduh deck, ente bucin banget!...","Astaga, Anda budak cinta sekali!!"
Jangan unfriend dong elo!,"Tolong jangan hapus pertemanan, kamu."
"Aduh yaelah, loe galau banget! dah","Astaga, Anda sedih sekali!."
"Aduh dah, ente ambyar banget! dah","Astaga, Anda hancur sekali!."
"Aduh njir, elo gercep banget!","Astaga, saudara cepat sekali!."
kamu troll banget dah,kamu mengganggu sekali!
Jangan modus dong kamu,"Tolong jangan berpura-pura, kamu!"
"Aduh anjir, loe jomblo banget!","Astaga, saudara tidak punya pasangan sekali!!"
ente flexing banget dah...,saudara pamer sekali!
"Aduh waduh, loe gabut banget!...","Astaga, Anda tidak produktif sekali!!"
"Aduh deck, loe alay banget!","Astaga, kamu norak sekali!."
"Aduh deck, elo santuy banget! dah","Astaga, saudara santai sekali!."
"Aduh siap, you alay banget!","Astaga, saudara norak sekali!."
"Aduh anjir, elo gercep banget!!","Astaga, saudara cepat sekali!"
"Aduh yhaa, kamu galau banget! dah","Astaga, Anda sedih sekali!!"
"Aduh njir, ente ngehe banget!!","Astaga, Anda menjengkelkan sekali!."
"Aduh siap, ente gemoy banget!...","Astaga, saudara menggemaskan sekali!"
"Aduh wkwk, lu lebay banget!!","Astaga, saudara berlebihan sekali!"
"Aduh wkwk, kamu ajib banget!","Astaga, kamu hebat sekali!!"
"Aduh njir, loe kepo banget! dah","Astaga, Anda penasaran sekali!!"
"Aduh njir, kamu santuy banget!","Astaga, kamu santai sekali!."
"Aduh yhaa, elo gercep banget!...","Astaga, saudara cepat sekali!"
"Aduh wkwk, elo tajir banget!!","Astaga, kamu kaya sekali!"
"Aduh haha, lu gemoy banget!!","Astaga, saudara menggemaskan sekali!!"
"Aduh dah, elo syulit banget!!","Astaga, saudara sulit sekali!"
"Mabar yuk lu, gw unfriend nih","Bermain bersama yuk Anda, saya hapus pertemanan!"
loe tuh gemoy banget sih,saudara benar-benar menggemaskan.
"Aduh deck, ente galau banget!","Astaga, kamu sedih sekali!."
"Aduh anjir, you garing banget!!","Astaga, saudara membosankan sekali!!"
"Aduh siap, loe kepo banget! dah","Astaga, Anda penasaran sekali!."
"Aduh njir, loe bucin banget!!","Astaga, kamu budak cinta sekali!!"
"Aduh dah, ente santuy banget!!","Astaga, Anda santai sekali!"
"Aduh deck, kamu ngehe banget!","Astaga, saudara menjengkelkan sekali!"
Jangan sokin dong loe dah,"Tolong jangan fokus, Anda."
"Aduh haha, lu mager banget!...","Astaga, Anda malas gerak sekali!!"
"Aduh njir, lu mantul banget!!","Astaga, saudara mantap sekali!!"
"Mabar yuk lu, gw flexing nih...","Bermain bersama yuk kamu, saya pamer."
"Aduh dah, loe lebay banget!!","Astaga, saudara berlebihan sekali!"
"Aduh yaelah, lu bucin banget!!","Astaga, Anda budak cinta sekali!"
"Aduh deck, loe gabut banget! dah","Astaga, saudara tidak produktif sekali!."
"Aduh deck, you lebay banget!!","Astaga, kamu berlebihan sekali!!"
"Aduh deck, you ngehe banget!...","Astaga, saudara menjengkelkan sekali!."
"Aduh dah, you ajib banget! dah","Astaga, Anda hebat sekali!."
"Aduh siap, ente gabut banget! dah","Astaga, Anda tidak produktif sekali!!"
Jangan unfriend dong loe!,"Tolong jangan hapus pertemanan, Anda!"
"Aduh haha, lu mantul banget!","Astaga, Anda mantap sekali!."
"Aduh anjir, lu ambyar banget!!","Astaga, kamu hancur sekali!."
"Aduh haha, ente ambyar banget!","Astaga, saudara hancur sekali!!"
"Aduh siap, you baper banget!","Astaga, saudara terlalu sensitif sekali!!"
"Aduh yhaa, you mager banget!","Astaga, saudara malas gerak sekali!!"
"Aduh yaelah, you gemoy banget! dah","Astaga, Anda menggemaskan sekali!!"
"Aduh anjir, you baper banget!","Astaga, kamu terlalu sensitif sekali!!"
"Aduh njir, you cepet banget! dah","Astaga, Anda cepat sekali!!"
"Aduh wkwk, you ngehe banget!...","Astaga, saudara menjengkelkan sekali!."
"Mabar yuk ente, gw nyok nih...","Bermain bersama yuk kamu, saya ayo"
"Aduh dah, loe santuy banget!","Astaga, saudara santai sekali!."
"Aduh anjir, ente santuy banget!","Astaga, Anda santai sekali!!"
"Aduh deck, lu cepet banget!!","Astaga, Anda cepat sekali!!"
"Aduh njir, elo gabut banget! dah","Astaga, saudara tidak produktif sekali!"
"Aduh wkwk, you santuy banget!!","Astaga, Anda santai sekali!!"
"Aduh njir, elo ajib banget! dah","Astaga, saudara hebat sekali!."
"Aduh njir, you ngehe banget!!","Astaga, Anda menjengkelkan sekali!."
"Mabar yuk lu, gw sokin nih","Bermain bersama yuk Anda, saya fokus."
"Aduh waduh, elo ngehe banget!!","Astaga, kamu menjengkelkan sekali!"
"Aduh yhaa, lu alay banget!!","Astaga, saudara norak sekali!!"
"Aduh deck, loe baper banget! dah","Astaga, kamu terlalu sensitif sekali!."
"Aduh njir, lu ambyar banget!","Astaga, Anda hancur sekali!"
"Aduh waduh, kamu syulit banget!...","Astaga, Anda sulit sekali!"
"Aduh yhaa, elo gabut banget!...","Astaga, kamu tidak produktif sekali!!"
"Mabar yuk loe, gw japri nih!","Bermain bersama yuk Anda, saya kirim pesan pribadi."
"Aduh deck, ente gemoy banget! dah","Astaga, saudara menggemaskan sekali!."
"Aduh deck, you gemoy banget!","Astaga, kamu menggemaskan sekali!!"
"Aduh anjir, elo alay banget! dah","Astaga, kamu norak sekali!"
"Aduh njir, kamu ajib banget! dah","Astaga, Anda hebat sekali!."
"Aduh yhaa, ente galau banget! dah","Astaga, saudara sedih sekali!."
"Mabar yuk you, gw block nih","Bermain bersama yuk saudara, saya blokir!"
"Aduh haha, lu galau banget! dah","Astaga, Anda sedih sekali!"
"Aduh haha, elo ngehe banget!","Astaga, kamu menjengkelkan sekali!!"
"Aduh deck, lu lebay banget!...","Astaga, saudara berlebihan sekali!"
"Aduh yhaa, ente mantul banget!!","Astaga, kamu mantap sekali!"
"Aduh dah, lu gabut banget!","Astaga, saudara tidak produktif sekali!!"
"Aduh haha, elo ngehe banget! dah","Astaga, kamu menjengkelkan sekali!."
"Mabar yuk ente, gw troll nih","Bermain bersama yuk kamu, saya mengganggu."
Jangan ghosting dong lu dah,"Tolong jangan menghilang, saudara."
loe tuh lebay banget sih!,saudara benar-benar berlebihan!
Jangan ribut dong ente,"Tolong jangan berdebat, kamu"
Jangan block dong you!,"Tolong jangan blokir, saudara!"
"Aduh yhaa, lu mantul banget!!","Astaga, kamu mantap sekali!"
"Aduh siap, you gercep banget!","Astaga, saudara cepat sekali!!"
"Aduh haha, elo gemoy banget!","Astaga, kamu menggemaskan sekali!"
loe tuh mantul banget sih!,saudara benar-benar mantap!
ente tuh kepo banget sih,Anda benar-benar penasaran!
elo nyok banget dah...,kamu ayo sekali
"Aduh yaelah, ente ngehe banget! dah","Astaga, kamu menjengkelkan sekali!!"
"Aduh deck, ente mantul banget! dah","Astaga, Anda mantap sekali!"
"Aduh dah, elo santuy banget! dah","Astaga, kamu santai sekali!!"
"Aduh waduh, lu mager banget!!","Astaga, Anda malas gerak sekali!!"
"Aduh njir, lu syulit banget!...","Astaga, saudara sulit sekali!"
"Aduh njir, ente lebay banget!...","Astaga, Anda berlebihan sekali!."
"Aduh njir, loe kepo banget!","Astaga, Anda penasaran sekali!"
"Aduh dah, ente mantul banget! dah","Astaga, saudara mantap sekali!"
Jangan unfriend dong loe,"Tolong jangan hapus pertemanan, Anda"
Jangan ghosting dong loe dah,"Tolong jangan menghilang, kamu"
"Mabar yuk loe, gw gaskeun nih","Bermain bersama yuk saudara, saya bersungguh-sungguh"
"Aduh yhaa, loe santuy banget!","Astaga, saudara santai sekali!!"
Jangan jadian dong ente,"Tolong jangan berhubungan, kamu"
"Aduh waduh, elo ambyar banget!!","Astaga, Anda hancur sekali!!"
"Aduh waduh, lu santuy banget!","Astaga, saudara santai sekali!!"
"Aduh yaelah, ente ajib banget! dah","Astaga, kamu hebat sekali!!"
ente gaskeun banget dah...,Anda bersungguh-sungguh sekali
"Aduh yhaa, loe gabut banget! dah","Astaga, saudara tidak produktif sekali!"
"Aduh waduh, elo ambyar banget! dah","Astaga, Anda hancur sekali!."
"Aduh yhaa, loe cepet banget!","Astaga, kamu cepat sekali!."
"Aduh yhaa, you ngehe banget!...","Astaga, kamu menjengkelkan sekali!."
"Aduh haha, you cepet banget!!","Astaga, saudara cepat sekali!"
"Aduh deck, kamu mager banget! dah","Astaga, kamu malas gerak sekali!."
